段落,短语,全片秒,全片帧,阶段,ASR直接匹配
0,给一台机器,0.5,15,0,True
0,认出相册,3.033333333333333,91,0.05,True
0,扶稳小车,4.366666666666666,131,0.34,False
0,陪你下棋,6.166666666666667,185,0.68,True
0,卷积神经网络,11.466666666666667,344,0.8,True
0,相遇,21.033333333333335,631,1,True
1,难题藏在,22.966666666666665,689,0,True
1,猫换个姿势,24.733333333333334,742,0.07,True
1,杆还没倒,27.133333333333333,814,0.35,False
1,棋还没落,29.4,882,0.7,False
1,回答,36.43333333333333,1093,1,True
2,我是rainbow鱼,38.1,1143,0,True
2,第一章,41.4,1242,0.5,True
2,整理相册,43.93333333333333,1318,0.9,True
3,目标很具体,46.766666666666666,1403,0,True
3,输入一张,48.166666666666664,1445,0.08,True
3,数据有十类,51.2,1536,0.32,True
3,新照片,55.666666666666664,1670,0.66,True
3,收到了什么,61.46666666666667,1844,1,True
4,把这张猫放大,63.86666666666667,1916,0,True
4,红、绿、蓝,70.86666666666666,2126,0.2,True
4,分开,76.0,2280,0.55,True
4,网络收到的,79.33333333333333,2380,0.82,True
5,如果把所有数字,88.8,2664,0.02,True
5,一条边缘,95.06666666666666,2852,0.28,True
5,同样的耳朵,101.3,3039,0.55,True
5,卷积的主意,105.33333333333333,3160,0.77,True
6,现在让窗口,117.26666666666667,3518,0,True
6,得到一个响应值,126.7,3801,0.04,True
6,继续向右,130.0,3900,0.13,True
6,逐渐显出,132.93333333333334,3988,0.4,True
6,局部线索显出来,144.13333333333333,4324,1,True
7,我们停在,146.53333333333333,4396,0,True
7,红绿蓝,152.86666666666667,4586,0.0,True
7,红色通道,156.96666666666667,4709,0.05,True
7,绿色,158.2,4746,0.48,True
7,蓝色,158.76666666666668,4763,0.95,True
7,最后合并,161.46666666666667,4844,1,True
8,为什么值得,172.76666666666668,5183,0,True
8,左上角,179.0,5370,0.1,True
8,右下角,180.93333333333334,5428,0.45,True
8,走过图片,187.73333333333332,5632,0.8,True
8,最终预测,198.03333333333333,5941,1,True
9,到这里,200.2,6006,0,True
9,六张图,215.2,6456,0.2,True
9,分工不同,220.16666666666666,6605,0.38,True
9,最后的判断,228.06666666666666,6842,0.5,True
10,为什么需要六张,230.03333333333333,6901,0.5,True
10,观察一件,239.46666666666667,7184,0.62,True
10,各自的一张图,248.5,7455,0.81,True
10,一个答案,256.46666666666664,7694,1,True
11,一小块响应,258.56666666666666,7757,0,True
11,经过第一层,265.53333333333336,7966,0.2,True
11,下采样和第二层,270.3333333333333,8110,0.7,True
11,测试结果,284.6333333333333,8539,1,True
12,组合之前,286.6666666666667,8600,0,True
12,负响应变成零,289.76666666666665,8693,0.1,False
12,右边,296.93333333333334,8908,0.55,True
12,复杂的关系,310.26666666666665,9308,0.85,True
13,接下来,315.3666666666667,9461,0,True
13,二乘二,320.1,9603,0.15,False
13,最大值进入,326.8,9804,0.5,True
13,窗口走完,329.1,9873,0.8,True
13,不是无损缩放,340.4,10212,1,True
14,现在把整条,345.1,10353,0,True
